@relation explaining_humans

@attribute iter integer
@attribute user string
@attribute tf string
@attribute score numeric
@attribute PFdist numeric
@attribute acr numeric
@attribute class {Pareto,Not-Pareto}
@attribute scaled_acr numeric

@data
8,A12FWV00JX3IUZ,rastr,-43.3195361760347,0,-35.6625661491772,Pareto,0.766276212175224
9,A12FWV00JX3IUZ,rastr,-60.3128606251788,0,-39.184036788606,Pareto,0.446470241569778
10,A12FWV00JX3IUZ,rastr,-48.8957915299048,0,-40.3980061312683,Pareto,0.336222369681128
11,A12FWV00JX3IUZ,rastr,-33.2494312047663,5.22221285077755,-39.6037200283237,Not-Pareto,0.408356277386188
12,A12FWV00JX3IUZ,rastr,-20.4801292116981,5.03599544616442,-37.6913609466611,Not-Pareto,0.582029130258939
13,A12FWV00JX3IUZ,rastr,-33.5699590517579,0,-37.3166880471245,Pareto,0.616055434199759
14,A12FWV00JX3IUZ,rastr,-25.0754277748905,5.81157600673526,-36.2965830244383,Not-Pareto,0.708697318884777
15,A12FWV00JX3IUZ,rastr,-32.909260814754,8.30280733820831,-36.0360197775395,Not-Pareto,0.732360637597578
16,A12FWV00JX3IUZ,rastr,-21.358511226632,9.6631374162964,-34.9876263096175,Not-Pareto,0.827571566472333
17,A12FWV00JX3IUZ,rastr,-19.4351309545275,10.2013983373026,-33.9507932859449,Not-Pareto,0.92173262173679
18,A12FWV00JX3IUZ,rastr,-20.1616186031996,7.72011710197354,-33.0889698682733,Not-Pareto,1
19,A12FWV00JX3IUZ,rastr,-38.6412503848687,9.20431665274536,-33.4155746045436,Not-Pareto,0.970339055644034
3,A12FWV00JX3IUZ,schwef,-875.492103406725,0,-875.492103406725,Pareto,0
4,A12FWV00JX3IUZ,schwef,-663.150070610912,0,-769.321087008818,Pareto,0.411735994703948
5,A12FWV00JX3IUZ,schwef,-448.579083957431,0,-662.407085991689,Pareto,0.826353317303438
6,A12FWV00JX3IUZ,schwef,-991.755859270872,0,-744.744279311485,Pareto,0.50704596447936
7,A12FWV00JX3IUZ,schwef,-666.040163490847,0,-729.003456147357,Pareto,0.568089587332619
8,A12FWV00JX3IUZ,schwef,-658.884084652711,0,-717.316894231583,Pareto,0.613410602034288
